LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead,"ALPHA BLACK TO PAPA BEAR. WE GOT THEM ALL. OVER.",alpha
STRM_Rpickup,"ALPHA TO BRAVO. WE ARE DONE HERE. PICK US UP. OVER.",alpha

STRM_Rextract,"BRAVO TO ALPHA. GET READY FOR PICK UP. OVER.",bravo

STRM_Rrtb,"PAPA BEAR TO ALPHA BLACK. ROGER THAT. RETURN TO BASE. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. GOOD JOB WELCOME HOME. OVER.",hq

STRD_Rmissname,"Fast Escape",missionname
STRL_Rload,"Get those escaping russians.",loadname
