LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead,"ALPHA BLACK TO PAPA BEAR. WE HAVE CAPTURED THE VILLAGE. SEND SOME BACKUP. OVER.",alpha
STRM_Rreinfdead,"ALPHA TO PAPA BEAR. RUSSIAN REINFORCEMENTS ARE DEFEATED. OVER.",alpha

STRM_Rbravohere,"BRAVO TO ALPHA. WE ARE YOUR BACKUP. SETTING UP DEFENSIVE POSITIONS. OVER.",bravo

STRM_Rbackup,"PAPA BEAR TO ALPHA. ROGER THAT. BACKUP INBOUND. STAY PUT. OVER.",hq
STRM_Rdefend,"PAPA BEAR TO ALPHA. KEEP THE OBJECTIVE SECURED. SOME MOVEMENT DETECTED NORTH WEST. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALPHA. COPY. YOUR MISSION IS NOW ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Battle of Bor",missionname
STRL_Rload,"Assault and capture Bor",loadname
