LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission

STRM_Ralpha,"PAPA BEAR THIS IS BRAVO. WE ARE IN POSITION AND READY TO ATTACK. OVER.",alpha
STRM_Rbaseclear,"PAPA BEAR THIS IS BRAVO. THE BASE IS CLEAR. ALL RUSSIANS ARE EITHER FLEEING OR DEAD. OVER.",alpha

STRM_Rbravo,"CHARLIE REPORTING. READY TO ATTACK. OVER.",bravo

STRM_Rcharlie,"PAPA BEAR THIS IS DELTA. IN POSITION, READY TO GO. OVER.",charlie

STRM_Rallgo,"PAPA BEAR TO ALL UNITS. COMMENCE THE ATTACK, GO GO GO!",hqallgo
STRM_Rrogerbase,"ROGER THAT BRAVO. KEEP IT CLEAR AND MOP UP ANY REMAINING RUSSIANS. BE AWARE OF POSSIBLE REINFORCEMENTS. PAPA BEAR OUT.",hqreply
