LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rgogogo,"ALPHA BLACK TO GROUND FORCES. COMMENCE THE ATTACK. OVER.",alpha

STRM_Rtanksgone,"DELTA BLACK TO PAPA BEAR. ALL RUSSIAN ARMOR HAS BEEN NEUTRALIZED. OVER.",delta

STRM_Rlaunch,"PAPA BEAR TO ALL FORCES. VIPER. I REPEAT VIPER. OVER.",hq
STRM_Reastdead,"PAPA BEAR TO ALL FORCES. ALL THE RUSSIANS ARE WIPED OUT. EXCELLENT JOB EVERYONE. PAPA BEAR OUT.",hq

STRD_Rmissname,"Desert Justice",missionname
STRL_Rload,"Desert Battlefield...",loadname
